time,i,j,lat,lon,RH;;;;;
2025-01-01_00:00:00;44;41;341.841;-118.611;46,27
2025-01-01_01:00:00;44;41;341.841;-118.611;46,41
2025-01-01_02:00:00;44;41;341.841;-118.611;31,55
2025-01-01_03:00:00;44;41;341.841;-118.611;34,72
2025-01-01_04:00:00;44;41;341.841;-118.611;42,88
2025-01-01_05:00:00;44;41;341.841;-118.611;42,91
2025-01-01_06:00:00;44;41;341.841;-118.611;39,14
2025-01-01_07:00:00;44;41;341.841;-118.611;40,85
2025-01-01_08:00:00;44;41;341.841;-118.611;40,23
2025-01-01_09:00:00;44;41;341.841;-118.611;37,29
2025-01-01_10:00:00;44;41;341.841;-118.611;35,26
2025-01-01_11:00:00;44;41;341.841;-118.611;32,84
2025-01-01_12:00:00;44;41;341.841;-118.611;31,21
2025-01-01_13:00:00;44;41;341.841;-118.611;28,32
2025-01-01_14:00:00;44;41;341.841;-118.611;27,47
2025-01-01_15:00:00;44;41;341.841;-118.611;30,95
2025-01-01_16:00:00;44;41;341.841;-118.611;31,41
2025-01-01_17:00:00;44;41;341.841;-118.611;27,08
2025-01-01_18:00:00;44;41;341.841;-118.611;22,92
2025-01-01_19:00:00;44;41;341.841;-118.611;19,92
2025-01-01_20:00:00;44;41;341.841;-118.611;17,31
2025-01-01_21:00:00;44;41;341.841;-118.611;16,33
2025-01-01_22:00:00;44;41;341.841;-118.611;17,62
2025-01-01_23:00:00;44;41;341.841;-118.611;27,09
2025-01-02_00:00:00;44;41;341.841;-118.611;34,40
2025-01-02_01:00:00;44;41;341.841;-118.611;35,43
2025-01-02_02:00:00;44;41;341.841;-118.611;31,08
2025-01-02_03:00:00;44;41;341.841;-118.611;24,47
2025-01-02_04:00:00;44;41;341.841;-118.611;21,83
2025-01-02_05:00:00;44;41;341.841;-118.611;20,55
2025-01-02_06:00:00;44;41;341.841;-118.611;21,69
2025-01-02_07:00:00;44;41;341.841;-118.611;21,34
2025-01-02_08:00:00;44;41;341.841;-118.611;22,70
2025-01-02_09:00:00;44;41;341.841;-118.611;22,67
2025-01-02_10:00:00;44;41;341.841;-118.611;21,09
2025-01-02_11:00:00;44;41;341.841;-118.611;21,42
2025-01-02_12:00:00;44;41;341.841;-118.611;22,32
2025-01-02_13:00:00;44;41;341.841;-118.611;23,18
2025-01-02_14:00:00;44;41;341.841;-118.611;24,42
2025-01-02_15:00:00;44;41;341.841;-118.611;24,39
2025-01-02_16:00:00;44;41;341.841;-118.611;23,29
2025-01-02_17:00:00;44;41;341.841;-118.611;20,46
2025-01-02_18:00:00;44;41;341.841;-118.611;17,75
2025-01-02_19:00:00;44;41;341.841;-118.611;16,28
2025-01-02_20:00:00;44;41;341.841;-118.611;14,63
2025-01-02_21:00:00;44;41;341.841;-118.611;13,57
2025-01-02_22:00:00;44;41;341.841;-118.611;13,38
2025-01-02_23:00:00;44;41;341.841;-118.611;13,33
2025-01-03_00:00:00;44;41;341.841;-118.611;13,66
2025-01-03_01:00:00;44;41;341.841;-118.611;15,30
2025-01-03_02:00:00;44;41;341.841;-118.611;15,68
2025-01-03_03:00:00;44;41;341.841;-118.611;16,29
2025-01-03_04:00:00;44;41;341.841;-118.611;16,41
2025-01-03_05:00:00;44;41;341.841;-118.611;16,54
2025-01-03_06:00:00;44;41;341.841;-118.611;23,70
2025-01-03_07:00:00;44;41;341.841;-118.611;30,03
2025-01-03_08:00:00;44;41;341.841;-118.611;25,18
2025-01-03_09:00:00;44;41;341.841;-118.611;21,79
2025-01-03_10:00:00;44;41;341.841;-118.611;20,61
2025-01-03_11:00:00;44;41;341.841;-118.611;21,44
2025-01-03_12:00:00;44;41;341.841;-118.611;23,54
2025-01-03_13:00:00;44;41;341.841;-118.611;23,52
2025-01-03_14:00:00;44;41;341.841;-118.611;21,99
2025-01-03_15:00:00;44;41;341.841;-118.611;21,88
2025-01-03_16:00:00;44;41;341.841;-118.611;21,75
2025-01-03_17:00:00;44;41;341.841;-118.611;20,87
2025-01-03_18:00:00;44;41;341.841;-118.611;23,02
2025-01-03_19:00:00;44;41;341.841;-118.611;25,00
2025-01-03_20:00:00;44;41;341.841;-118.611;28,33
2025-01-03_21:00:00;44;41;341.841;-118.611;31,20
2025-01-03_22:00:00;44;41;341.841;-118.611;29,82
2025-01-03_23:00:00;44;41;341.841;-118.611;35,07
2025-01-04_00:00:00;44;41;341.841;-118.611;27,74
2025-01-04_01:00:00;44;41;341.841;-118.611;37,37
2025-01-04_02:00:00;44;41;341.841;-118.611;63,99
2025-01-04_03:00:00;44;41;341.841;-118.611;60,61
2025-01-04_04:00:00;44;41;341.841;-118.611;61,39
2025-01-04_05:00:00;44;41;341.841;-118.611;55,85
2025-01-04_06:00:00;44;41;341.841;-118.611;57,32
2025-01-04_07:00:00;44;41;341.841;-118.611;71,26
